
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,,Spot,1,1019132070,19132070,
2.28893,,Spot,2,1019132070,19132071,
1.36376,,Spot,3,1019132070,19132072,
1.80036,,Spot,4,1019132070,19132073,
2.60511,,Spot,5,1019132070,19132074,
2.86047,,Spot,6,1019132070,19132075,
2.63874,,Spot,7,1019132070,19132076,
3.73892,,Spot,8,1019132070,19132077,
3.87366,,Spot,9,1019132070,19132078,
3.60849,,Spot,10,1019132070,19132079,
3.77216,,Spot,11,1019132070,19132080,
3.21914,,Spot,12,1019132070,19132081,
4.16578,,Spot,13,1019132070,19132082,
4.54642,,Spot,14,1019132070,19132083,
5.82243,,Spot,15,1019132070,19132084,
5.54401,,Spot,16,1019132070,19132085,
5.82612,,Spot,17,1019132070,19132086,
6.30005,,Spot,18,1019132070,19132087,
6.96887,,Spot,19,1019132070,19132088,
7.45837,,Spot,20,1019132070,19132089,
7.41697,,Spot,21,1019132070,19132090,
6.36489,,Spot,22,1019132070,19132091,
3.88028,,Spot,23,1019132070,19132092,
4.02026,,Spot,24,1019132070,19132093,
4.32002,,Spot,25,1019132070,19132094,
4.64805,,Spot,26,1019132070,19132095,
4.57216,,Spot,27,1019132070,19132096,
4.74892,,Spot,28,1019132070,19132097,
5.8002,,Spot,29,1019132070,19132098,
5.36424,,Spot,30,1019132070,19132099,
5.7509,,Spot,31,1019132070,19132100,
5.25086,,Spot,32,1019132070,19132101,
4.93285,,Spot,33,1019132070,19132102,
4.94495,,Spot,34,1019132070,19132103,
5.836,,Spot,35,1019132070,19132104,
5.97025,,Spot,36,1019132070,19132105,
6.2465,,Spot,37,1019132070,19132106,
7.01033,,Spot,38,1019132070,19132107,
9.23222,,Spot,39,1019132070,19132108,
9.82098,,Spot,40,1019132070,19132109,
9.06806,,Spot,41,1019132070,19132110,
9.5428,,Spot,42,1019132070,19132111,
9.30803,,Spot,43,1019132070,19132112,
8.64289,,Spot,44,1019132070,19132113,
8.83522,,Spot,45,1019132070,19132114,
8.83146,,Spot,46,1019132070,19132115,
8.96527,,Spot,47,1019132070,19132116,
8.04317,,Spot,48,1019132070,19132117,
8.20292,,Spot,49,1019132070,19132118,
8.07999,,Spot,50,1019132070,19132119,
8.73548,,Spot,51,1019132070,19132120,
8.85388,,Spot,52,1019132070,19132121,
8.44561,,Spot,53,1019132070,19132122,
8.13236,,Spot,54,1019132070,19132123,
8.00751,,Spot,55,1019132070,19132124,
7.51367,,Spot,56,1019132070,19132125,
7.32901,,Spot,57,1019132070,19132126,
7.60881,,Spot,58,1019132070,19132127,
8.48257,,Spot,59,1019132070,19132128,
10.2296,,Spot,60,1019132070,19132129,
8.71953,,Spot,61,1019132070,19132130,
8.14689,,Spot,62,1019132070,19132131,
7.25681,,Spot,63,1019132070,19132132,
8.48577,,Spot,64,1019132070,19132133,
9.38365,,Spot,65,1019132070,19132134,
8.81368,,Spot,66,1019132070,19132135,
11.5598,,Spot,67,1019132070,19132136,
15.6542,,Spot,68,1019132070,19132137,
18.7952,,Spot,69,1019132070,19132138,
21.8259,,Spot,70,1019132070,19132139,
21.4448,,Spot,71,1019132070,19132140,
20.9207,,Spot,72,1019132070,19132141,
20.4754,,Spot,73,1019132070,19132142,
19.2427,,Spot,74,1019132070,19132143,
17.1583,,Spot,75,1019132070,19132144,
17.8223,,Spot,76,1019132070,19132145,
16.3405,,Spot,77,1019132070,19132146,
15.458,,Spot,78,1019132070,19132147,
14.8263,,Spot,79,1019132070,19132148,
16.6722,,Spot,80,1019132070,19132149,
14.6008,,Spot,81,1019132070,19132150,
15.076,,Spot,82,1019132070,19132151,
14.5644,,Spot,83,1019132070,19132152,
13.0409,,Spot,84,1019132070,19132153,
12.4537,,Spot,85,1019132070,19132154,
11.9764,,Spot,86,1019132070,19132155,
11.4026,,Spot,87,1019132070,19132156,
10.6745,,Spot,88,1019132070,19132157,
8.73065,,Spot,89,1019132070,19132158,
7.99491,,Spot,90,1019132070,19132159,
8.90467,,Spot,91,1019132070,19132160,
9.54109,,Spot,92,1019132070,19132161,
7.91274,,Spot,93,1019132070,19132162,
7.95643,,Spot,94,1019132070,19132163,
7.97866,,Spot,95,1019132070,19132164,
6.59544,,Spot,96,1019132070,19132165,
5.39482,,Spot,97,1019132070,19132166,
6.7612,,Spot,98,1019132070,19132167,
5.39664,,Spot,99,1019132070,19132168,
6.26605,,Spot,100,1019132070,19132169,
7.11893,,Spot,101,1019132070,19132170,
8.28237,,Spot,102,1019132070,19132171,
