
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
1.76715,µm^3,Spot,1,1000718119,718119,
1.76715,µm^3,Spot,2,1000718119,730774,
1.76715,µm^3,Spot,3,1000718119,743791,
1.76715,µm^3,Spot,4,1000718119,756711,
1.76715,µm^3,Spot,5,1000718119,768779,
1.76715,µm^3,Spot,6,1000718119,782493,
1.76715,µm^3,Spot,7,1000718119,795537,
1.76715,µm^3,Spot,8,1000718119,808499,
1.76715,µm^3,Spot,9,1000718119,821759,
1.76715,µm^3,Spot,10,1000718119,834667,
1.76715,µm^3,Spot,11,1000718119,847617,
1.76715,µm^3,Spot,12,1000718119,860523,
1.76715,µm^3,Spot,13,1000718119,873474,
1.76715,µm^3,Spot,14,1000718119,886281,
1.76715,µm^3,Spot,15,1000718119,899325,
1.76715,µm^3,Spot,16,1000718119,912407,
1.76715,µm^3,Spot,17,1000718119,924871,
1.76715,µm^3,Spot,18,1000718119,935891,
1.76715,µm^3,Spot,19,1000718119,946886,
1.76715,µm^3,Spot,20,1000718119,957866,
1.76715,µm^3,Spot,21,1000718119,968955,
1.76715,µm^3,Spot,22,1000718119,979962,
1.76715,µm^3,Spot,23,1000718119,990262,
1.76715,µm^3,Spot,24,1000718119,1001227,
1.76715,µm^3,Spot,25,1000718119,1012129,
1.76715,µm^3,Spot,26,1000718119,1021431,
1.76715,µm^3,Spot,27,1000718119,1033878,
1.76715,µm^3,Spot,28,1000718119,1046880,
1.76715,µm^3,Spot,29,1000718119,1062673,
1.76715,µm^3,Spot,30,1000718119,1075614,
1.76715,µm^3,Spot,31,1000718119,1088631,
1.76715,µm^3,Spot,32,1000718119,1101555,
1.76715,µm^3,Spot,33,1000718119,1115305,
1.76715,µm^3,Spot,34,1000718119,1128005,
1.76715,µm^3,Spot,35,1000718119,1139796,
1.76715,µm^3,Spot,36,1000718119,1152693,
1.76715,µm^3,Spot,37,1000718119,1165353,
1.76715,µm^3,Spot,38,1000718119,1177450,
1.76715,µm^3,Spot,39,1000718119,1190519,
1.76715,µm^3,Spot,40,1000718119,1203410,
1.76715,µm^3,Spot,41,1000718119,1216401,
1.76715,µm^3,Spot,42,1000718119,1228874,
1.76715,µm^3,Spot,43,1000718119,1241031,
1.76715,µm^3,Spot,44,1000718119,1253678,
1.76715,µm^3,Spot,45,1000718119,1266099,
1.76715,µm^3,Spot,46,1000718119,1278170,
1.76715,µm^3,Spot,47,1000718119,1290744,
1.76715,µm^3,Spot,48,1000718119,1303639,
1.76715,µm^3,Spot,49,1000718119,1316611,
1.76715,µm^3,Spot,50,1000718119,1329455,
1.76715,µm^3,Spot,51,1000718119,1342246,
1.76715,µm^3,Spot,52,1000718119,1355104,
1.76715,µm^3,Spot,53,1000718119,1367932,
1.76715,µm^3,Spot,54,1000718119,1380743,
1.76715,µm^3,Spot,55,1000718119,1393671,
1.76715,µm^3,Spot,56,1000718119,1406769,
1.76715,µm^3,Spot,57,1000718119,1419492,
1.76715,µm^3,Spot,58,1000718119,1431776,
1.76715,µm^3,Spot,59,1000718119,1444112,
1.76715,µm^3,Spot,60,1000718119,1456749,
1.76715,µm^3,Spot,61,1000718119,1469274,
1.76715,µm^3,Spot,62,1000718119,1481768,
1.76715,µm^3,Spot,63,1000718119,1491861,
1.76715,µm^3,Spot,64,1000718119,1505042,
1.76715,µm^3,Spot,65,1000718119,1518069,
1.76715,µm^3,Spot,66,1000718119,1531105,
1.76715,µm^3,Spot,67,1000718119,1544077,
1.76715,µm^3,Spot,68,1000718119,1557208,
1.76715,µm^3,Spot,69,1000718119,1570043,
1.76715,µm^3,Spot,70,1000718119,1582450,
1.76715,µm^3,Spot,71,1000718119,1598493,
1.76715,µm^3,Spot,72,1000718119,1611088,
1.76715,µm^3,Spot,73,1000718119,1623806,
1.76715,µm^3,Spot,74,1000718119,1636871,
1.76715,µm^3,Spot,75,1000718119,1649895,
1.76715,µm^3,Spot,76,1000718119,1662910,
1.76715,µm^3,Spot,77,1000718119,1676023,
1.76715,µm^3,Spot,78,1000718119,1688969,
1.76715,µm^3,Spot,79,1000718119,1702092,
1.76715,µm^3,Spot,80,1000718119,1715032,
1.76715,µm^3,Spot,81,1000718119,1728106,
1.76715,µm^3,Spot,82,1000718119,1741181,
1.76715,µm^3,Spot,83,1000718119,1754233,
1.76715,µm^3,Spot,84,1000718119,1767326,
